YouTube transcript
[3:58] するとこっちにもいるぞと声が聞こえてき
[4:02] ましたすぐにその場へ向かうとそこにいた
[4:05] のは1匹目よりさらにでかい体調2
[4:07] メートルのヒグマが2匹一匹は始末に成功
[4:10] しますが2匹目のヒグマは立ち上がり仁王
[4:13] 立ちの状態で威嚇してきたそうです
[4:16] 猟友会会員はすぐさまに引き目も始末し
[4:19] 合計3匹のクマの始末に成功します残りの
[4:22] クマは3匹ですその後餌場近くをうろつい
[4:25] ていた4匹目を発見し
[4:28] 猟友会会員数名で囲み始末しました残りの
[4:31] ヒグマは2頭ですがこの2頭が餌場である
[4:34] プレハブ小屋に隠れてしまったため作業は
[4:37] 難航しますそこで猟友会会員が取った行動
[4:40] は重機でプレハブ小屋を壊すという大胆な
[4:43] ものでした一人が重機を操縦し
[4:46] プレハブ小屋を壊すと1匹が小屋の中で
[4:48] 絶命していました残るクマは1匹なのです
[4:51] がなんと小屋の中を確認するために近づい
[4:54] た漁師さんの近くに最後のクマがいたの
[4:56] ですその距離はたったの5そしてヒグマは
[5:00] 漁師さんをめがけて飛びかかろうとしまし
[5:02] たですがすぐさま漁師さんは目を見開き
[5:05] クマを睨みつけますするとクマは襲うのを
[5:08] やめて後ずさりしましたすぐに襲いかかっ
[5:11] ては来ないと読んだ漁師さんはすぐさま
[5:13] 重機に乗り込み車内から最後のクマを銃で
[5:17] 打ち始末したのですそして
[5:19] 牧場内に逃げ出した6頭のクマ全ての始末
[5:21] が終了しました全てが終わったのは通報
[5:24] から6時間後の午後4時でしたすぐさま
[5:27] 女性従業員らは病院へ運ばれましたが
[5:29] すでに絶命していましたどちらかを判別
[5:32] するのが難しいほど
[5:34] 被害者2名の状態はとてもひどいものでし
[5:36] たそして同じ日に死亡解剖が行われます
[5:39] クマが逃げたと叫び声を上げた女性の死因
[5:43] は頸椎損傷もう一人の女性従業員の死因は
[5:46] 外傷性ショックだと判明しましたその後
[5:49] 始末をしたクマの内臓を調べてみると
[5:52] 井の中から握りこぶしほどの大きさの肉片
[5:54] や毛髪
[5:56] 胃液で変色した衣類などが発見されました
[5:58] そして最悪な結末を迎えてしまった本事件
[6:02] から約2カ月後の6月9日経営者の男性と
[6:05] 事故が起きた瞬間その場にいた男性従業員
[6:09] の2人が逮捕されました
[6:11] 容疑は業務上過失致死ですではどうして
[6:14] この二人が逮捕されることになったの
[6:16] でしょうかそれはこの二人の行動によって
[6:19] 女性従業員2名が命を落としてしまったと
[6:22] 考えられるからです今回の事故が起きて
[6:25] しまった原因として考えられるのは
[6:27] 牧場の劣悪な飼育環境です実は事故が起き
[6:31] た2012年の秋に牧場は閉鎖することが
[6:33] 事前に決定していました
[6:36] 閉鎖することになった原因は業績不振に
[6:38] より経営を続けるのが困難だと判断された
[6:40] からです本州随一のクマ牧場と書かれた
[6:44] 看板を設置してはいましたが客足は
[6:47] どんどん遠のき経営は火の車状態だった
[6:50] ようです建物の老朽化が進むのに対し修理
[6:53] できるほどの売り上げがないため
[6:56] 施設内はさらに老朽化が進んでいって
[6:57] しまっていましたさらに経営不振の弊害を
[7:00] 受けたのは建物だけじゃありませんクマ
[7:03] たちもです
[7:05] 恐ろしいことに牧場にはもうすでにクマ
[7:07] たちの餌を買うお金すら残されていなかっ
[7:09] たのですそのため牧場は大館市にある私立
[7:13] 総合病院から入院している患者に出された
[7:16] 食事の残飯約50キロを週3回無償で提供
[7:19] してもらっていましたですが周囲の人は
[7:22] この食事量について足りているようには
[7:24] 見えなかったと証言しています実際牧場で
[7:28] 飼育されていたクマたちは本当に熊なのか
[7:30] と疑われるほどみんなガリガリに痩せてい
[7:34] ました
[7:35] 十分なご飯を与えられていないので
[7:37] 栄養失調で歯や爪はボロボロさらに与え
[7:40] られたとしてもクマ同士の間で餌の
[7:43] 取り合いが起き小熊などの弱い個体は餌を
[7:46] 食べることすらできなかったそうです空腹
[7:48] のせいで常にクマたちは気が立っており
[7:51] これではいつ人を襲っても仕方がないと
[7:53] 言われていました
[7:55] 自動車が牧場内で買ったパン1枚をクマ
[7:57] たちにあげた際みんなでそのパンを
[8:00] 奪い合っていたそうです
[8:02] ちなみにそのパンはカビが生えていたそう
[8:04] ですそんなものでも牧場側は販売してい
[8:07] ましたそしてクマたちもそんなものでも
[8:10] 餌だと
[8:11] 命がけで奪い合っていたのです残念ながら
[8:13] 問題視されていたのは食事だけではあり
[8:16] ませんクマの島民にも問題ばかりでした
[8:19] 敷地の広さと熊の数が釣り合っていなかっ
[8:21] たため
[8:23] 牧場側は十分に寝床を用意していなかった
[8:25] のですそのため寝床がないクマは冬眠する
[8:28] ことができずノイローゼになってしまい
[8:30] ましたノイローゼになってしまったクマは
[8:33] 檻の中をうろうろとさまよっていたそう
[8:35] です加えて無計画な繁殖により小熊が食べ
[8:39] られるなども起きていたという話もあり
[8:40] ますこのような劣悪な飼育環境からクマが
[8:44] いつ人を襲ってもおかしくないと言われて
[8:46] いましたさらに経営難によってこの牧場内
[8:50] には従業員が3名しかいなかったのです
[8:53] 驚くことに全員が35歳以上の高齢者
[8:57] 従業員を雇おうにもお金がありませんよっ
[9:00] てクマについてのきちんとした知識を持っ
[9:02] た人間を雇うことができずたった3人の
[9:05] 従業員で34等のクマの管理を行っていた
[9:08] のでした経営者もコロコロ変わっており
[9:10] 今回の事故で逮捕された経営者は他にも
[9:14] 仕事を手掛けていたため
[9:16] 牧場には月に数回しか現れなかったそう
[9:18] ですさらに経営難を理由にその年の秋に
[9:22] 牧場閉鎖が決まっていましたが
[9:24] 閉鎖した後について経営者はクマに餌を
[9:27] 与えるのをやめクマ同士で争わせる自然
[9:30] 淘汰を考えていたことがわかっています
[9:32] つまり日頃からクマたちの餌が十分でない
[9:35] ことは分かっていながらあわよくば同士で
[9:38] 争ってくれればいいと思っていたのかも
[9:40] しれませんその結果クマたちは餌を求め
[9:44] 従業員を襲った後は餌を取り合うように
[9:46] 彼女らを奪い合っていたのですではどうし
[9:49] てクマたちは高さ4.5mの壁を超える
[9:52] ことができたのでしょうそれには男性従業
[9:55] 員が行っていた除雪作業が大きく関係して
[9:57] いました先ほど紹介した通り
[10:01] 従業員は全員65歳以上の高齢者若者で
[10:04] あれば除雪作業もお手の物かもしれません
[10:06] が高齢者には大変な作業ですそのため男性
[10:11] 従業員は雪を処分するのに
[10:13] 楽な場所を選んでしまったのですそれが
[10:16] クマが逃げ出した場所運動場でした運動場
[10:19] は仕切りが設置され3つの空間に分けられ
[10:22] ていたのですがその一部にクマが水遊び
[10:25] できるようにプールが設置されていました
[10:28] 男性従業員はそのプールの水で雪を
[10:30] 溶かそうとその場所に捨てていたのです
[10:32] ですが男性が思ったより雪が解けず
[10:35] どんどん積もってしまい壁際に雪山ができ
[10:38] ていきますその結果クマが積もった雪山を
[10:42] 利用し壁を乗り越えてしまったのですよっ
[10:44] て警察は安全確認を怠ったとして
[10:47] 牧場の経営者と
[10:49] 除雪作業をしていた男性従業員を業務上
[10:52] 過失致死の容疑で逮捕しました経営者は
[10:54] 取材に
[10:56] 雪山があることに気づかなかったと話し
[10:59] 男性従業員は取り調べで運動場に雪を放棄
[11:02] していたことを認めています
[11:04] 逮捕された経営者と男性従業員は略式起訴
[11:07] され
[11:08] 罰金50万円の略式命令が下されました
[11:10] 行政処分については牧場が事故後閉鎖され
[11:13] たため見送りとなりました
[11:16] 牧場はこの事故に伴いすぐさま救援6月に
[11:20] 閉鎖されましたでは残されたクマはどう
[11:22] なったのでしょうか
[11:24] 閉鎖している間に熊野二頭が共食いによっ
[11:26] て命を落としてしまいますその後のクマ
[11:29] たちについては経営者の思惑通り自然淘汰
[11:32] の計画が遂行されそうになったり県による
[11:36] 処分など様々な案が出されますですが処分
[11:38] によって
[11:39] 観光に影響が出てしまうことを恐れた秋田
[11:42] 県警が県による処分決定を引き伸ばします
[11:44] そんな中日本熊森協会や地域生物会議
[11:49] アライブなどから
[11:50] 支援金や支援物資が送られ
[11:52] 県からも非常勤職員が派遣されました最終
[11:55] 的には熊をきちんとした環境で飼育し
[11:58] ながら県主導でクマの受け入れ先を探す
[12:01] ことに落ち着きました
[12:03] 秋田県は熊の受け入れ先を探すにあたって
[12:05] まずは日本動物園水族館協会に協力を要請
[12:09] しますすると茨城県と高知県にある施設
[12:12] から月のアグマ限定で受け入れ可能との
[12:14] 連絡を受けましたさらに8月23日には
[12:18] 北秋田市にある日本で唯一自治体が設置し
[12:20] たクマ牧場
[12:22] 兄熊牧場が戦闘受け入れを申し出たのです
[12:25] ですが受け入れにはアニマ牧場が抱えてい
[12:28] た牧場施設拡張や財政問題など全てが解決
[12:31] してからとのことでしたそれを聞いた秋田
[12:34] 県はすぐに牧場に対し出資おかげで新しい
[12:38] 施設が建てられそこで牧場のクマたちは
[12:41] 飼育されることが決定しました2012年
[12:43] にはツキノワグマの位相を開始し2013
[12:47] 年にはヒグマの移送そして2014年1月
[12:50] には牧場にいた隈銭湯の位相が完了し
[12:54] くまクマインという名前でリニューアル
[12:55] オープンし今回の事故は幕を下ろしました
[12:58] 女性従業員2人の命が奪われた今回の事故
[13:02] 悪いのは熊だったのでしょうかそれとも
[13:05] 人間側なのでしょうかぜひ皆さんの意見を
[13:09] コメント欄にて教えてくださいご視聴
[13:11] ありがとうございました
