年月日|都道府県|市町村・場所|場所の性格|被害者|行動|結果|B根拠|C根拠|JBN冊子ページ・節|照合キー
1983-06-24（引用記事は1992年・未解決）|秋田県|旧田沢湖町・八幡平大深沢国有林|国立公園の山林・沢|1人：女性48歳／職業不明|友人3人とタケノコ採り|死亡|不明：§2.5事例2に職業記載なし|○：友人と山菜採りに入山|pp.53–54 §2.5事例2|
1993-07-11|山梨県|丹波山村・丹波山川支流ムジナ沢|沢|1人：成人男性／年齢・職業不明|釣りのため遡行|負傷（程度不明）|不明：§3.2事例2に職業記載なし|○：釣り目的の遡行|pp.58・60 §3.2事例2|
1995-06-27／28（資料内不一致）|東京都|奥多摩町境・自宅50m手前|山林内の山道|1人：男性60歳／職業不明|帰宅中|重傷・全治1か月|不明：§3.2事例4に職業記載なし|不明：帰宅前の活動が不明|pp.58・61 §3.2事例4|
1995-08-02|東京都|奥多摩町・石尾根縦走路六ツ石山分岐付近|登山道|1人：男性32歳／職業不明|単独登山|負傷・全治10日|不明：§3.2事例5に職業記載なし|○：単独登山中|pp.58–59・61 §3.2事例5|
1998-05-18|山梨県|塩山市・大菩薩峠|沢|1人：男性67歳／職業不明|ウドなど山菜採り|大けが（重軽傷区分未記載）|不明：§3.2⑥に職業記載なし|○：山菜採取中|p.59 §3.2⑥|
1998-06-05|東京都|奥多摩町中山沢|ワサビ田への経路|1人：男性65歳／職業不明|ワサビ田へ作業に向かう|重傷と記載・全治14日|不明：§3.2⑦に職業記載なし|×：作業へ向かう途中|p.59 §3.2⑦|
2002-06-05|東京都|奥多摩町（詳細不明）|不明（§3.2⑧に地形記載なし）|1人：成人男性／年齢・職業不明|登山|重傷と記載・全治14日|不明：§3.2⑧に職業記載なし|○：登山者と記載|p.59 §3.2⑧|
2005-06-23|東京都|奥多摩町日原|沢|2人：成人男性／年齢・職業不明|沢登り|負傷2人・程度不明|不明：§3.2⑨に職業記載なし|○：沢登り中|p.59 §3.2⑨|
2005-08-14|山梨県|丹波山村後山川・青岩谷出合付近|作業道の急斜面|1人：男性64歳／職業不明|登山中、登山道外の作業道を下降|咬傷・裂傷（程度不明）|不明：§3.2事例6に職業記載なし|○：一覧⑩は登山中と記載|pp.59・61–62 §3.2事例6|
2008-09-17|東京都|奥多摩町・自宅近くの山中|山中|1人：男性43歳／著名な登山家|トレーニングのジョギング|顔面裂傷・出血多量（区分未記載）|不明：登山家と記載、ガイド等の該当属性は未確認|不明：訓練目的のジョギングは指定活動に明記なし|p.59 §3.2⑫|
2010-09-09|東京都|奥多摩町峰谷・赤指尾根|山中の踏査ルート|1人：女性21歳／大学3年生・卒論調査者|野生動物調査の糞採取|咬傷・全治2～3週間|不明：学生だが研究調査中、研究者の範囲未確定|×：登山等でなく卒論の野生動物調査|pp.59・62–64 §3.2事例7|
2008-05-02|神奈川県|東丹沢・土山峠南西1km（市町村未記載）|登山道外の尾根|1人：男性40代／職業不明|バリエーションルート登山|咬傷、転落による脱臼・靭帯断絶、ギブス1か月|不明：§3.3詳細に職業記載なし|○：登山目的で入山|pp.66–68 §3.3|
2000-09-17|栃木県|塩谷町|沢|2人：年齢・性別・職業不明|渓流釣り|各全治1か月|不明：表2-3-1に職業なし|○：渓流釣り中|p.69 表2-3-1|
2003-07-27|栃木県|塩原町（現那須塩原市）|不明（表2-3-1に地形記載なし）|1人分の記録・年齢性別職業不明|山菜採り|重傷|不明：表2-3-1に職業なし|○：山菜採り中|p.69 表2-3-1|
2003-08-15|栃木県|藤原町（現日光市）|不明（表2-3-1に地形記載なし）|1人分の記録・年齢性別職業不明|釣り|重傷|不明：表2-3-1に職業なし|○：釣り中|p.69 表2-3-1|
2007-05-09|栃木県|佐野市|捕獲わな周辺|1人分の記録・年齢性別職業不明／イノシシ捕獲者|イノシシわな捕獲|重症（原文）|×：わな捕獲者|×：捕獲活動|p.69 表2-3-1|
2010-09-10|栃木県|塩谷町高原地内の牧場|牛舎内|1人：男性／年齢不明・牧場従業員|牛舎で作業|軽傷・擦り傷|○：牧場従業員|×：業務中・施設内|p.70 §3.4事例3|
2006-10-16|群馬県|沼田市秋塚町|所有リンゴ畑|1人：男性57歳／職業不明|リンゴ畑で農作業|重傷|不明：§3.5事例1に職業なし|×：農作業中|p.74 §3.5事例1|
2006／2007-07-22（資料内不一致）|群馬県|中之条町四万温泉|温泉街・宿から100m|2人：成人女性／職業不明|宿泊先付近を散歩|重傷1人・軽傷1人|不明：§3.5事例2に職業なし|×：温泉街での事故|pp.72・74 §3.5事例2|
1999-06-06（曜日記述と不一致）|新潟県|湯之谷村（現魚沼市）尾瀬ヨシッポリ田代|湿原の木道|2人：50代夫婦／職業不明|尾瀬の木道通行|襲撃被害・重軽傷不明|不明：§3.5尾瀬に職業なし|○：尾瀬への入山・木道通行|pp.74–75 §3.5尾瀬|
2004-06-05|新潟県|湯之谷村（現魚沼市）尾瀬ヨシッポリ田代|湿原の木道|2人：成人会社員／年齢性別不明|同僚と尾瀬を歩行|負傷2人・うち1人腕骨折|○：中心被害者2人とも会社員|○：尾瀬に入山し同僚と歩行|pp.75–76 §3.5尾瀬|
2000-05-13|山梨県|市川大門町|県道から1kmの山林・沢沿い|1人：男性67歳／職業不明|フキ採り|死亡|不明：§4.3死亡事例1に職業なし|○：山菜採り中|p.81 §4.3死亡事例1|
2004-08-13|長野県|信濃町柏原|里山の山道・用水路|1人：男性61歳／職業不明|犬の散歩|死亡|不明：§4.3死亡事例2に職業なし|不明：里山散歩は指定活動に明記なし|p.81 §4.3死亡事例2|
2006-06-14|長野県|山ノ内町志賀高原笠岳|山中|1人：男性52歳／職業不明|単独のネマガリダケ採り|死亡|不明：§4.3死亡事例3に職業なし|○：タケノコ採りに入山|pp.81–82 §4.3死亡事例3|
2006-10-04|長野県|大鹿村大河原・白沢山中腹|山中|1人：男性71歳／職業不明|キノコ採り|死亡（5日発見）|不明：§4.3死亡事例4に職業なし|○：キノコ採りに出発|p.82 §4.3死亡事例4|
2004-10-15|長野県|豊丘村障子山|山中|1人：男性60歳／職業不明|単独のキノコ採り|重傷|不明：§4.3タイプ1事例2に職業なし|○：キノコ採り中|p.83 §4.3タイプ1事例2|
2006-09-08|長野県|長野市戸隠豊岡|畑・農作業小屋|2人：女性82歳、男性58歳／職業不明|女性はモロヘイヤ収穫、男性は農作業小屋で作業|女性大けが・男性軽傷|不明：§4.3タイプ2事例1に職業なし|×：農作業中|p.84 §4.3タイプ2事例1|
2006-09-20|長野県|小谷村千国乙|中学校近くの山道|1人：男子14歳／中学3年生|登校中|重傷|○：中学生|×：通学中|pp.85–86 §4.3タイプ3事例1|
2006-10-30|長野県|伊那市長谷|自宅敷地|1人：女性70歳／職業不明|犬の吠え声で自宅から外へ出た|大けが（区分未記載）|不明：§4.3タイプ4事例1に職業なし|×：自宅敷地内|p.86 §4.3タイプ4事例1|
2004-10-20|富山県|上市町上中町|商店街の民家廊下|3人：男性58・42歳、女性77歳／職業不明|自宅周辺を警戒、家に逃げ込んだ|軽傷3人|不明：§5.3.2事例2-1に職業なし|×：住宅内|pp.96–97 §5.3.2事例2-1|
2006-10-26|富山県|入善町舟見|自宅近くの集落内町道|1人：男性71歳／職業不明|犬の散歩|死亡|不明：§5.3.4事例4に職業なし|×：集落内の自宅近く|p.102 §5.3.4事例4|
2009-09-19|岐阜県|乗鞍岳畳平（市町村未記載）|登山口・バスターミナル・店舗|成人男女10人（従業員4人を含む、自傷含む）／各年齢職業不明|観光・登山口で撮影、救助、店舗業務など|負傷10人・重傷者あり|不明：中心となる観光客の職業不明、従業員のみで除外しない|不明：登山口と施設内の複数被害、中心事例の選択が必要|pp.109–111 §6.3事例5|乗鞍岳
2010-08-18|岐阜県|高山市|山林・捕獲わな|1人：男性46歳／市職員|錯誤捕獲クマの放獣|負傷・全治約1か月|○：市職員（指定除外職種とは記載なし）|×：業務として放獣|p.107 §6.3事例1|
2010-09-17|岐阜県|飛騨市|水田近くの山林・捕獲わな|1人：男性69歳／山林所有者・職業不明|錯誤捕獲クマの放獣|頭部咬傷・救援発砲による左腕銃創|不明：所有者以外の属性未記載|×：放獣作業|pp.107–108 §6.3事例2|
2010-09-02|岐阜県|高山市|河川|1人：男性59歳／職業不明|釣りの餌付けでかがんだ|頭・腕など咬傷（程度不明）|不明：§6.3事例3に職業なし|○：釣り中|p.108 §6.3事例3|
2006-10-17|滋賀県|長浜市新庄中町|民家・市街地|2人：男性65歳（職業不明）、男性25歳（警察官）|住民は侵入クマを追い払い、警察官は捜索|住民軽傷・警察官重傷|不明：住民の職業不明、警察官1人だけで全体を×にしない|×：民家・市街地、警察官は職務|pp.119–120 §7.3事例1|
2010-11-26|兵庫県|豊岡市日高町万場|農作業小屋内|1人：男性84歳／職業不明|干柿の作業|重傷・鼻骨骨折|不明：§7.3事例3に職業なし|×：施設内の農作業|p.121 §7.3事例3|
1992-01-06|和歌山県|南部川村（現市町村は資料記載に疑義）|自宅近くの梅林|1人：男性74歳／職業不明|不明（p.122概要に行動記載なし）|重傷・全治1か月|不明：p.122に職業なし|不明：梅林で何をしていたか不明|p.122 §7.3近畿南部|
2010-08-18|鳥取県|市町村不明（§8.3事例5に未記載）|自宅近くの所有カキ畑|1人：男性82歳／職業不明|畑見回り、クマを見て鍬を持ち戻る|死亡（19日）|不明：§8.3事例5に職業なし|×：所有畑の管理・クマ対応|p.130 §8.3事例5|
2007-07-02|広島県|市町村不明（§8.3事例7に未記載）|自宅玄関前|1人：女性66歳／職業不明|自宅から外へ出た|裂傷・入院3か月|不明：§8.3事例7に職業なし|×：自宅敷地内|p.131 §8.3事例7|
2010-07-23|鳥取県|市町村不明（§8.3事例8に未記載）|配達先民家の玄関|1人：男性64歳／新聞配達従事|新聞配達|裂傷30針（程度不明）|不明：配達従事は明記、報道関係者の範囲未確定|×：業務中・民家前|pp.131–132 §8.3事例8|
2010-11-02|島根県|市町村不明（§8.3事例11に未記載）|国道から50mの山林|1人：男性40歳／職業不明|キノコ採り|重傷・右前腕骨折・入院1か月|不明：§8.3事例11に職業なし|○：キノコ採り中|p.134 §8.3事例11|
1999-10-20|島根県|市町村不明（§8.5事例1に未記載）|スギ造林地|1人：男性73歳／職業不明|ワサビ畑へ向かう|骨折・裂傷・全治1か月|不明：§8.5事例1に職業なし|×：ワサビ畑へ作業に向かう|p.135 §8.5事例1|
2003-03-07|島根県|市町村不明（§8.5事例2に未記載）|造林地・越冬穴付近|1人：男性52歳／森林組合作業員|枝打ち作業|咬傷・40針縫合（程度不明）|○：森林組合作業員|×：業務中|p.135 §8.5事例2|
