[00:00:00] 2023年5月14日北海道のシュナ子
[00:09:07] となった熊を見つけ出す作業が進みます。
[00:09:11] 午後1時前には銃を持ったハンターと町の
[00:09:14] 職員を乗せた船が現場の騎士へと渡ってい
[00:09:17] ました。相手は人を襲った熊。しかもどこ
[00:09:22] に潜んでいるのか分かりません。しかし
[00:09:25] なかなかひグを見つけることができません
[00:09:28] 。殺急に安全を確保しなければいけない
[00:09:31] 捜索体が出した結論はかなり慰例な方法
[00:09:34] でした。なんと赤線カメラを積んだ
[00:09:37] ドローンの仕様です。上空から太温を持つ
[00:09:41] 生き物の位置を熱として捉える。広い森の
[00:09:45] 中で身を潜めるひグを人の目だけで
[00:09:48] 探し出すのは至難の技です。しかし上空
[00:09:51] からの赤外線カメラは木々に遮切られても
[00:09:55] 体温という手がかりを見逃しません。すぐ
[00:09:58] にドローン作戦を実行したところ、赤外線
[00:10:01] カメラで熊の居場所の特定に成功。その
[00:10:05] 情報を地上のハンターに無線で伝えます。
[00:10:09] ちなみにひグの駆除にドローンを使ったと
[00:10:11] いう事例は国内ではおそらく初めてのこと
[00:10:14] とされています。
[00:10:17] 午後3時半過ぎ、ついに地上のハンターが
[00:10:21] 現場付近を離れようとしない1等のひを
[00:10:23] 確認。なんと襲撃から1日以上が経っても
[00:10:28] まだ獲物のそばを離れていなかったのです
[00:10:30] 。ハンターは銃を構え発砲。無事熊の駆除
[00:10:35] に成功。体調およそ1.5mのおすぐで
[00:10:39] かなり小さい部類でした。そして駆除され
[00:10:43] た熊の胃の中からはおよそ9kmに登る肉
[00:10:46] が見つかったのです。警察はその熊の内容
[00:10:51] 物を鑑定。選出されたのは西川俊さんの
[00:10:55] DNAでした。これにより西川さんは5月
[00:10:59] 14日の早朝生こ小沢の騎士でひグに襲わ
[00:11:03] れ帰らぬ人となったことが確定となったの
[00:11:06] です。迎えの船がつくわずか数時間前の
[00:11:10] 出来事でした。誰にも気づかれず、誰にも
[00:11:14] 助けを求められないままそれは起きていた
[00:11:16] のです。自然写真家として現地を取材した
[00:11:20] 人物曰く翌日にはあっさりと駆除された
[00:11:24] ことからこの熊は人前に出ることを
[00:11:26] ためらわない個体だったのではないかと
[00:11:29] 語っています。実際駆除された熊には問題
[00:11:34] と判断される特徴がいくつも揃っていまし
[00:11:36] た。現場に強く執着していたこと。前日
[00:11:41] から繰り返しこの場所に出入りしていた
[00:11:43] 足跡があったこと。そして人を恐れてい
[00:11:47] なかったこと。
[00:11:49] 本来野生のひグは人の気配を感じると自分
[00:11:53] から離れていきますが、この熊は違いまし
[00:11:56] た。その謎を解く手がかりは駆除された熊
[00:11:59] の年齢です。この日熊は水底で3歳ほどと
[00:12:04] されています。ひグの世界ではアジ住と
[00:12:08] 呼ばれる若者の段階です。
[00:12:11] とは母から離れてり立ちしたばかりの
[00:12:14] いわば四春機の熊。この熊の特徴として
[00:12:19] 大人のお熊に追い出され人里に近い条件の
[00:12:22] 悪い場所に流れつきやすいことや経験が
[00:12:25] 浅く人間に対する警戒心がまだ十分に育っ
[00:12:29] ておらず好奇心が王勢で怖いも知らずな
[00:12:32] ところです。大人の熊なら避けるような
[00:12:36] 場所にも平気で出てきてしまうのです。人
[00:12:39] の集まる湖の岸辺という本来熊がためらう
[00:12:43] 場所にこの若いオは住みついていました。
[00:12:46] それ自体が危険信号だったと言えます。
[00:12:50] またこの事故には釣りならではのもう1つ
[00:12:53] の悲惨な要因がありました。それはど長
[00:12:56] です。腰や胸まである大きな長靴。水に
[00:13:02] 立ち込んで釣るためには欠かせない道具
[00:13:04] ですが、いざという時には足かとなって
[00:13:06] しまいます。ゴム製のドナを履いたまま
[00:13:10] 素早く走ることはかなり難しいです。
[00:13:13] ぬかるんだ岸辺で水を吸った重い長靴で
[00:13:17] 時速50kmのひグから逃げる。それは
[00:13:20] 初めから不可能なことでした。ただでさえ
[00:13:23] 逃げ場のない岸辺で西川さんは逃げるため
[00:13:26] の足材も奪われていたと言えます。事故を
[00:13:30] 伝えた新聞はベテランの釣り師でも突然の
[00:13:33] 襲撃を防ぐことはできなかったと記載。
[00:13:36] そして恐ろしいのはこの熊が特別に凶暴な
[00:13:40] 例外的な一等だったわけではないという点
[00:13:43] です。この事件を取材したある全国市の
[00:13:47] 記者は自らの体験をこう語っています。
[00:13:51] 北海道の別の場所で川辺にいたひにカメラ
[00:13:54] を向けていた時のこと。ひグはゆっくりと
[00:13:57] 川を渡り、まっすぐ記者の方へ向かってき
[00:14:00] たと言います。その距離およそ10m。
[00:14:04] 記者が慌てて車に逃げ込むとひグは走って
[00:14:07] 追いかけてきました。
[00:14:10] これが人を恐れなくなったひグの現実の姿
[00:14:14] です。カメラを向ける人間をひグは逃げる
[00:14:17] 相手だと思っておらず人を恐れなくなった
[00:14:20] ひグは閉まりない子にも北海道の各地にも
[00:14:24] 静かに増え続けているのです。実際この
[00:14:28] 2023年は北海道でひグによる人身事故
[00:14:31] が相ついた年でもありました。静かな湖の
[00:14:35] 騎士で起きた西川さんの事故は決して遠い
[00:14:39] 誰かの特別な不運ではありません。この
[00:14:43] 2023年度、熊による人身被害は全国で
[00:14:47] 219人。亡くなった方は6人と統計が
[00:14:50] 残る中で最悪の数字になりました。西川
[00:14:54] さんの事故はその始まりの1つだったの
[00:14:57] です。そしてこの事故の後、シュマ子を
[00:15:01] 運営する側は5日前に熊の目撃情報があり
[00:15:04] ながら釣りを再開していたこと。そして
[00:15:08] 西川さんを1人で行かせてしまった。対策
[00:15:11] を打つべきだったと深く反省していると
[00:15:13] 発言。閉まり内子を管理する漁業共同
[00:15:17] 組合いと私船を運営するNPOは事故の
[00:15:21] 後名で生命を出しました。西川さんは長年
[00:15:26] にわって私船を利用してきた。馴染みの
[00:15:28] 1人スタッフや地元の釣り人からも慕われ
[00:15:32] た人物だったと生命には記されています。
[00:15:36] 事故の後、シュナ子では釣り舟の運行が
[00:15:40] 全面的にストップとなり、釣りは禁止とさ
[00:15:42] れました。また調査によると西川さんが
[00:15:46] 行方不明になる前日にも現場付近には無数
[00:15:50] の熊の足跡が点々と残っていたことが後の
[00:15:53] 調べで分かっています。
[00:15:56] さらに事故の少し前にはこの付近で熊に
[00:16:00] 吠えられたという釣り人までいたのです。
[00:16:03] つまり生こ小沢はその時すでにひにとって
[00:16:07] 馴染みの場所になっていた可能性が高かっ
[00:16:09] たのです。そもそもなぜひグは人の多い
[00:16:13] 釣り場の近くに現れるようになったの
[00:16:15] でしょうか?ここに釣り人自身も気づか
[00:16:18] ない1つの習慣が関係していると指摘され
[00:16:21] ています。伊刀釣りでは目当ての伊東以外
[00:16:25] の魚も針にかかります。例えばウぐいと
[00:16:29] いう魚です。一部の釣り人はこうした狙い
[00:16:33] ではない魚を騎士に放り投げて捨てること
[00:16:36] がありました。悪気はありません。しかし
[00:16:40] 騎士に打ち上げられた魚はひグにとって
[00:16:43] 苦労をせずに手に入る格好のご馳想です。
[00:16:46] これを1度でも覚えた熊は釣り人がいる
[00:16:49] 騎士に行けば魚が食べられると学習する
[00:16:52] ことでしょう。人間を恐れる対象ではなく
[00:16:57] 食べ物のありかとして記憶してしまうの
[00:16:59] です。しかもこの記憶は消えません。ひグ
[00:17:03] は一度覚えた食べ物の味と場所を生涯忘れ
[00:17:07] ないとされています。さらに恐ろしいのは
[00:17:10] 母が小熊を連れてその場所に通うこと。
[00:17:14] 人間の騎士に行けば食べ物がある。その
[00:17:17] 知恵が母から声と世代を超えて受け継がれ
[00:17:21] ていきます。1人の釣り人の何気ない行為
[00:17:24] が何年もかけて人を恐れない熊を育てて
[00:17:28] しまう。絵付けが危険だと言われるのは
[00:17:30] このためです。人間が関節的に絵付けをし
[00:17:34] ている環境だったこともあり、シュナ子の
[00:17:36] ひグの数は年々増加傾向で、シュナ子を
[00:17:40] 含む手まし地方のひは1990年には
[00:17:44] およそ200等、それが2020年には
[00:17:48] およそ850等。30年で4倍を超える数
[00:17:53] に膨れ上がっていたのです。人を恐れない
[00:17:56] 熊が増え、その生息地の真ん中で人間が魚
[00:18:00] を捨てる。事故が起きる条件は静かに、
[00:18:04] しかし確実に積み上がっていたと言えます
[00:18:06] 。事故の後、湖の周辺には監視のための
[00:18:11] 停点カメラが設置されました。そのカメラ
[00:18:14] に移っていたのは一等ではなく親子のひグ
[00:18:17] の姿。この騎士はすでにひ熊にとってこう
[00:18:21] 育てる場所になっていたのです。たまたま
[00:18:24] 一等が現れたという話ではありません。人
[00:18:28] を恐れない熊の一家が静かにこの湖に
[00:18:31] 暮らしていました。そしてもう1つ、多く
[00:18:35] の人が信じてきた熊の鈴を鳴らせば熊は
[00:18:39] 逃げるという常識もこの湖では通用しなく
[00:18:43] なっていたのです。以前は音を鳴らして
[00:18:46] 人間の存在を知らせれば熊の方から避けて
[00:18:49] くれるという考え方でしたが、人間恐れ
[00:18:53] ない熊にとって鈴の音はもはや逃げる合図
[00:18:56] ではなく、むしろ人間がいるという合図と
[00:18:59] なっていました。つまり食べ物が近くに
[00:19:03] あるという合図になってしまうこともある
[00:19:05] のです。鈴を鳴らせば安全という考えは
[00:19:09] 閉まりない子では徐々に終わりつつあった
[00:19:11] とも言えるでしょう。しかしこの結果に
[00:19:15] 対して誰かを責めることはできません。山
[00:19:18] や湖といった自然の中での活動は基本的に
[00:19:22] は自己責任となるので法律の上では誰も罪
[00:19:26] には問われません。とはいえ今回の事故を
[00:19:29] 防げた可能性も確実にあります。熊の足跡
[00:19:34] は前日に残されていました。目撃情報が出
[00:19:38] ていたのは5日前。騎士に魚を捨てる習慣
[00:19:42] が熊を呼び寄せていた可能性も指摘されて
[00:19:45] います。どれも1つ1つは小さな見落とし
[00:19:49] だったのかもしれませんが、その積み重ね
[00:19:51] が重大な事故へとつがることもあるのです
[00:19:54] 。2度とこのような事件を起こさないため
[00:19:57] に事故のあった2023年の秋ナ子
[00:20:01] には新しい決まりが作られ翌年の春釣りは
[00:20:05] 再開されることとなりました。その決まり
[00:20:09] はシュマリナイ子ルールと呼ばれ、この
[00:20:11] 規則はたった1つの反省から始まってい
[00:20:14] ます。1人にしないということです。前浜
[00:20:18] やキャンプ場を除き、単独での行動は原則
[00:20:21] 禁止。船で釣りをする時もすぐに集まれる
[00:20:25] 距離を保つ、必ず携帯するものも細かく
[00:20:29] 決められました。スマートフォン、熊の鈴
[00:20:32] 、そしてク劇スプレー。熊体スプレーは
[00:20:38] 唐辛しの絡み成分であるカプサイをおよそ
[00:20:41] 5mから9m先まで霧のように噴射する
[00:20:44] 道具です。非常に便利ですが使用する上で
[00:20:48] 忘れてはいけないことがあります。それは
[00:20:52] いざという時カの中に入れていては
[00:20:54] 間に合わないということ。ひグとの遭遇は
[00:20:58] 一瞬で起きます。腰やベルトなど1秒で手
[00:21:02] が届く場所に装着しておくこと。それで
[00:21:06] こそ初めて命綱になる道具と言えます。
[00:21:10] さらにあの事故の原因にもつがった魚の
[00:21:13] 扱いにもルールができました。釣れた魚は
[00:21:17] できるだけ水の中に返すこと。騎士に魚の
[00:21:21] 匂いを残さない。岸での調理はカップ
[00:21:24] ラーメン1杯であっても禁止。人間の
[00:21:27] 食べ物や魚の匂いで熊を騎士に呼び寄せ
[00:21:30] ないための工夫です。どれも特別な装備や
[00:21:34] 難しい技術ではありません。
[00:21:36] そしてもし万が一ひグと出会ってしまった
[00:21:39] 場合やってはいけないのは背中を見せて
[00:21:42] 勢いよく走って逃げることです。走って
[00:21:46] 逃げる動きはひグの大本能を帰って刺激し
[00:21:49] ます。走るひグから人間が逃げきれること
[00:21:53] はまずありません。大声で叫ぶのも熊を
[00:21:57] 興奮させることがあります。熊と目を
[00:22:00] 合わせたまま落ち着いてゆっくりと後ずり
[00:22:03] するのが特策と言えるでしょう。
[00:22:06] そして荷物をその場に残していかないこと
[00:22:09] 。食べ物の入った荷物を置いて逃げれば次
[00:22:13] に来た人間が同じ危険にさらされるから
[00:22:15] です。何より大切なのは危ない熊がいる
[00:22:19] 場所にはそもそも近づかないこと。目撃
[00:22:23] 情報が出ている場所。足跡が残っている
[00:22:26] 場所。今日はやめておくという判断が命を
[00:22:30] 守る最初の一歩になります。西川さんが船
[00:22:34] を降りた朝にも5日前の目撃情報という
[00:22:37] 引き返すための手がかりは確かにありまし
[00:22:40] た。1人で行かない、匂いを残さない。
[00:22:44] スプレーを手の届く場所に。その一手間の
[00:22:47] 積み重ねが次の命を守ります。西川俊浩
[00:22:52] さんの父親は報道の取材に事故の後テレビ
[00:22:56] や新聞で息子の名前を見てもそれが息子の
[00:22:59] ことだとうまく繋がらなかったと語ってい
[00:23:01] ます。そして好きな釣りをやっていて命を
[00:23:05] 落としたのであれば本人にとっては本毛か
[00:23:08] もしれません。でもひグにそれはどうなの
[00:23:12] か、どうしてそんな場所に行ったのか、
[00:23:15] どうして1人で行ってしまったのか。疑問
[00:23:18] ばかりで頭がはち切れそうになりますと
[00:23:21] 語っていました。
[00:23:23] 父親は事故の時点で最後に息子と会って
[00:23:27] から半年ほど経っていたとの方。最後に
[00:23:30] かわした言葉が何だったのか。それを
[00:23:33] 思い返しては胸を締めつけられていたのか
[00:23:35] もしれません。西川さんには2人の子供が
[00:23:39] いました。大好きなお父さんを突然失った
[00:23:43] 子供たち。その気持ちを思うと父親はやり
[00:23:47] きれないと言葉をつまらせています。事故
[00:23:50] から1年が経った後も閉まりない子の周辺
[00:23:53] では熊の出没が確認され続けています。
[00:23:57] そしてこの危険はシュリナ子だけのもので
[00:24:00] はありませんでした。事故からおよそ2年
[00:24:03] 後の2025年8月。今度は世界自然遺産
[00:24:08] の知れトラウスだけで登山をしていた男性
[00:24:11] がひグに襲われる事故が起きます。人の
[00:24:15] 食べ物や人の気配になれ人を恐れなくなっ
[00:24:19] た熊。
[00:24:21] その数は北海道の各地で確実に増え続けて
[00:24:24] います。そうした熊がいる限り同じような
[00:24:28] 事故はどこでも起こり得るのです。それで
[00:24:31] も閉まりない子は今も伊藤の聖地です。
[00:24:34] そして[音楽]
[00:24:35] その騎士は今もひグが暮らす場所でもあり
[00:24:38] ます。西川俊さん、今日54歳。心よりご
[00:24:44] 冥服をお祈り申し上げます。最後までご
[00:24:47] 視聴いただきありがとうございました。
